字段1,字段1_link,字段2,字段3,字段4,字段5
Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$
Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Sales Administrator and Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
"Resource Coordinator - Construction (plant, material, supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Customer Service and Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience
Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Graduates with Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
On-site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
PA / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=e7108108-6f87-4c93-83b9-56ff7bf85930,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=97719444-04e3-4b5f-acf7-4f40bf994a62,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=97719444-04e3-4b5f-acf7-4f40bf994a62,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration
Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=97719444-04e3-4b5f-acf7-4f40bf994a62,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$
Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=97719444-04e3-4b5f-acf7-4f40bf994a62,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control
Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=97719444-04e3-4b5f-acf7-4f40bf994a62,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=97719444-04e3-4b5f-acf7-4f40bf994a62,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate
Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=97719444-04e3-4b5f-acf7-4f40bf994a62,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$
Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=97719444-04e3-4b5f-acf7-4f40bf994a62,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$
Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=97719444-04e3-4b5f-acf7-4f40bf994a62,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Register your CV with Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Personnel Resources/Temp Resources,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"24d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration
Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$
Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Sales Administrator and Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
"Resource Coordinator - Construction (plant, material, supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Customer Service and Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience
Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Graduates with Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
On-site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
PA / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=01c90800-f2f2-4a64-982c-8c9a04cd3ae9,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=191c0558-0f84-4e7f-a3c4-4561c8710853,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=191c0558-0f84-4e7f-a3c4-4561c8710853,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration
Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=191c0558-0f84-4e7f-a3c4-4561c8710853,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$
Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=191c0558-0f84-4e7f-a3c4-4561c8710853,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control
Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=191c0558-0f84-4e7f-a3c4-4561c8710853,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=191c0558-0f84-4e7f-a3c4-4561c8710853,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate
Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=191c0558-0f84-4e7f-a3c4-4561c8710853,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$
Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=191c0558-0f84-4e7f-a3c4-4561c8710853,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$
Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=191c0558-0f84-4e7f-a3c4-4561c8710853,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Register your CV with Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Personnel Resources/Temp Resources,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"24d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration
Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$
Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Sales Administrator and Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
"Resource Coordinator - Construction (plant, material, supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Customer Service and Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience
Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Graduates with Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
On-site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
PA / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=05de9176-1fe8-42d8-81b7-639aadffc4fb,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=f7d208a6-5b65-417f-a784-55f3626d21ef,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=f7d208a6-5b65-417f-a784-55f3626d21ef,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration
Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=f7d208a6-5b65-417f-a784-55f3626d21ef,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$
Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=f7d208a6-5b65-417f-a784-55f3626d21ef,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control
Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=f7d208a6-5b65-417f-a784-55f3626d21ef,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=f7d208a6-5b65-417f-a784-55f3626d21ef,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate
Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=f7d208a6-5b65-417f-a784-55f3626d21ef,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$
Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=f7d208a6-5b65-417f-a784-55f3626d21ef,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$
Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=f7d208a6-5b65-417f-a784-55f3626d21ef,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Register your CV with Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=fbcc5af7-635c-4a30-a32f-07d524d5fdf5,Personnel Resources/Temp Resources,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"24d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=fbcc5af7-635c-4a30-a32f-07d524d5fdf5,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration
Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=fbcc5af7-635c-4a30-a32f-07d524d5fdf5,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=fbcc5af7-635c-4a30-a32f-07d524d5fdf5,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
